gene_id,C_t1_1,LPS_t1_1,C_t1_2,LPS_t1_2,C_t1_3,LPS_t1_3,C_t1_4,LPS_t1_4,control,lps,FDR,AveExpr,P value,C_t1_1 CPM,C_t1_2 CPM,C_t1_3 CPM,C_t1_4 CPM,LPS_t1_1 CPM,LPS_t1_2 CPM,LPS_t1_3 CPM,LPS_t1_4 CPM
ENSMUSG00000034459,705,562744,508,407623,420,535298,899,472780,0,10.3730466833392,3.3135087077997e-12,8.41738245190181,2.11007262240507e-16,14.492,11.188,7.267,14.132,12115.516,8163.352,11082.804,10192.031
ENSMUSG00000078853,436,23361,411,25690,522,25678,591,24606,0,6.3927763092873,3.3135087077997e-12,6.10320555509016,3.02341229782353e-16,8.962,9.052,9.032,9.290,502.947,514.486,531.637,530.448
ENSMUSG00000020641,1264,467367,1043,622013,801,569548,2348,536939,0,9.47168226414946,6.16015829226147e-12,9.01850135499339,1.12416776171567e-15,25.983,22.971,13.860,36.910,10062.111,12456.881,11791.916,11575.149
ENSMUSG00000028270,515,43766,442,57301,439,59437,639,51338,0,7.42672431825022,6.16015829226147e-12,6.67103309814746,8.49744248702163e-16,10.586,9.735,7.596,10.045,942.254,1147.551,1230.583,1106.727
ENSMUSG00000035042,158,88789,183,99353,104,111813,173,103175,0,10.1143913978847,7.70894750902641e-12,6.27196315724414,1.75850803162243e-15,3.248,4.030,1.800,2.719,1911.570,1989.715,2314.975,2224.212
ENSMUSG00000020638,695,220569,406,322694,358,279695,961,277292,0,9.63362924613178,7.74217525315601e-12,7.93336737969301,2.34872266030965e-15,14.286,8.942,6.194,15.107,4748.709,6462.503,5790.802,5977.767
ENSMUSG00000017652,741,52375,537,60078,684,69999,743,69124,0,7.26140348935217,7.74217525315601e-12,7.00279628357706,2.69386914899945e-15,15.232,11.827,11.835,11.680,1127.600,1203.165,1449.259,1490.152
ENSMUSG00000044701,75,43721,73,39663,88,39242,98,49673,0,9.72796007435857,7.74217525315601e-12,5.22716885184057,2.82574031777216e-15,1.542,1.608,1.523,1.541,941.285,794.320,812.466,1070.834
ENSMUSG00000034855,587,502164,587,547609,215,605444,617,519905,0,10.9304993085804,7.85337274817743e-12,8.29407020202865,6.55114221551065e-15,12.066,12.928,3.720,9.699,10811.268,10966.813,12535.106,11207.935
ENSMUSG00000045932,758,142458,550,224269,475,200285,1260,186840,0,8.74203438569516,7.85337274817743e-12,7.82757585997979,6.11436692491185e-15,15.581,12.113,8.219,19.807,3067.029,4491.373,4146.698,4027.833
ENSMUSG00000050578,8877,115845,7781,132991,9734,143855,12780,121965,0,4.44865492096371,7.85337274817743e-12,9.44290352065973,6.80752234204896e-15,182.475,171.370,168.427,200.897,2494.068,2663.374,2978.372,2629.280
ENSMUSG00000054404,5259,70587,4426,72103,5302,80113,6649,69413,0,4.48256727029451,7.85337274817743e-12,8.61243244705305,4.95279815540322e-15,108.104,97.479,91.740,104.520,1519.693,1443.987,1658.659,1496.382
ENSMUSG00000105504,64,58744,67,84380,44,77754,101,67181,0,10.7803310989804,7.85337274817743e-12,5.43200423988074,6.15179325284028e-15,1.316,1.476,0.761,1.588,1264.721,1689.855,1609.818,1448.265
ENSMUSG00000046879,2494,49995,2155,64304,2160,61767,3096,55357,0,5.27080189338594,7.85337274817743e-12,7.87785335521314,4.51425232187243e-15,51.267,47.462,37.374,48.668,1076.360,1287.798,1278.823,1193.367
ENSMUSG00000026896,1322,58882,1264,86491,1249,67166,2368,67977,0,6.25107208703891,7.85337274817743e-12,7.65525762877039,4.03053500073306e-15,27.175,27.839,21.611,37.224,1267.692,1732.131,1390.604,1465.425
ENSMUSG00000078920,1019,38159,728,43402,1008,47611,1168,50639,0,6.24494244029441,7.85337274817743e-12,7.02510379761827,4.7839773736517e-15,20.947,16.034,17.441,18.361,821.539,869.200,985.738,1091.658
ENSMUSG00000028268,432,26932,340,34559,350,36387,463,34554,0,7.10965281710991,7.85337274817743e-12,6.154634828351,4.7831799189565e-15,8.880,7.488,6.056,7.278,579.829,692.103,753.356,744.903
ENSMUSG00000023341,86,25095,59,29366,60,23863,142,20484,0,8.92307944292327,7.85337274817743e-12,4.80782922614661,5.78803812090757e-15,1.768,1.299,1.038,2.232,540.279,588.105,494.059,441.587
ENSMUSG00000046031,81,25716,91,27177,103,29022,95,30847,0,8.98056364287056,7.85337274817743e-12,4.99891804049678,5.10132818634946e-15,1.665,2.004,1.782,1.493,553.649,544.266,600.871,664.989
ENSMUSG00000074896,975,81239,718,125511,576,94970,1246,107129,0,7.61858792952593,9.42514586264919e-12,7.51286835674593,9.81362226557729e-15,20.042,15.813,9.966,19.587,1749.023,2513.574,1966.258,2309.451
